prompt_A,prompt_B,cosine_similarity
Helicopter blades whirring during takeoff,Rotary aircraft blades whirring distant during takeoff,0.8608221
Ice cream truck melody playing down a suburban street,Ice cream bright truck melody running down a suburban boulevard,0.9074373
Wind rustling through autumn leaves,Air current rustling over autumn fronds after rainfall,0.8321459
Footsteps running on concrete in the rain,Paces running resting on concrete during the rain,0.8257811
Computer server room with multiple fans humming,Computer server room featuring multiple fans resonant buzzing,0.8562995
Gentle rainfall on a tent in the wilderness,Gentle rainfall on a tent inside the wilderness at dawn,0.92315495
Airport terminal announcements and distant conversations,resonant Airport terminal announcements and isolated conversations,0.6856734
Medieval battle with sword clangs and shield impacts,Medieval battle plus sword clangs and shield impacts,0.9552834
Haunting theremin music in an empty ballroom,Haunting theremin music clear amidst an empty ballroom,0.86832786
Robot servos and mechanical movements,Robot servos besides mechanical movements,0.902248
Propeller airplane engine starting and accelerating,Propeller rich airplane engine starting and accelerating,0.9376121
Thunderous applause in a concert hall,Thunderous applause amidst a gig hall,0.92620075
Bowling ball hitting pins in a bowling alley,Bowling ball drumming pins during a bowling alley,0.9181155
Squeaky door slowly opening in a dark house,Squeaky door unhurriedly opening amid a dark home,0.8911596
Dial-up internet connection sounds,Dial up internet connection sounds,0.91179466
Crowded swimming pool with splashing and laughter,Crowded swimming pool with splashing coupled possessing hilarity,0.8340052
Antique music box playing a lullaby,Antique bright music box playing a lullaby,0.97894603
Chainsaw cutting through wood,Chainsaw sharp cutting through wood,0.9558856
Motorcycle engine revving loudly,Motorcycle sharp engine revving loudly,0.93545216
Blender mixing a smoothie on high speed,Blender mixing a smoothie resting on high speed,0.9371749
Bamboo wind chimes in a Japanese garden,Bamboo blast chimes during a Japanese garden patch,0.8927459
Ping pong ball bouncing on a table,warm Ping pong ball bouncing atop a table,0.9432304
Howling blizzard with intense wind,Howling blizzard alongside sharp intense draft,0.88562083
Crackling campfire with people quietly talking,Crinkling combustion pit plus humans quietly talking,0.72981256
Distant foghorn on a misty ocean,warm Distant foghorn atop a misty ocean,0.89102197
Cicadas chirping on a hot summer evening,"During autumn, cicadas twittering upon a hot summer evening",0.82423484
Arcade game sounds from the 1980s,Arcade distant game sounds from the 1980s,0.9447172
Babbling brook with frogs croaking,Babbling brook featuring frogs croaking on a summer day,0.86818284
Wind through pine trees in a mountain forest,Air movement by way of pine trees amidst a summit grove,0.73679477
Medieval tavern with music and chatter,Medieval tavern and music and chatter,0.9617717
Industrial factory with machinery humming,Industrial factory along comprising machinery whirring,0.7795797
Slow dripping water in a cave,"On a summer day, deliberate dripping water amidst a cave",0.7874601
Clock tower striking twelve at midnight,Clock rich tower striking twelve during midnight,0.91715753
Busy hospital emergency room ambience,Bustling hospital emergency room mood,0.80646205
Dog barking excitedly as someone arrives home,Dog barking excitedly distant as someone arrives home,0.93354654
Soothing meditation bowl being struck,Soothing sharp meditation bowl being struck,0.9394351
Giant creature stomping through a forest,Giant creature stomping via distant a forest,0.8586019
Grandfather telling a bedtime story,Grandfather telling a bedtime clear story,0.8983664
Fireworks exploding in the distance,Fireworks exploding across the distance,0.9620539
Windshield wipers squeaking on rainy drive,distant Windshield wipers squeaking covering rainy drive,0.91431785
Bustling farmers market with vendors calling out,Bustling precisely farmers fair plus vendors calling out,0.77668226
Old film projector clicking and whirring,Antique film projector clicking plus whirring,0.87403905
Bees buzzing around a flowering garden,Bees buzzing around a flowering greenery,0.9469167
Alien spacecraft landing with strange emissions,Alien particularly spacecraft landing featuring strange emissions,0.86671674
School bell ringing and hallway commotion,School ringer ringing combined featuring hallway commotion,0.8489958
Peaceful night crickets and occasional owl hoots,bright Peaceful night crickets plus infrequent owl hoots,0.915817
Casino slot machines dinging and paying out coins,Casino slot machines dinging also paying particularly out coins,0.8570921
Footsteps crunching through fresh snow,Foot falls crushing through fresh snow,0.7767299
Microwave oven humming and beeping,Microwave oven buzzing warm plus beeping,0.8821472
Distant thunder during a gentle rain shower,Distant crash for the duration of a gentle rainfall shower,0.81041026
Creaking rocking chair on an old porch,Straining rocking chair covering an historical deck,0.7816944
Church organ playing a somber hymn,bright Church organ playing a somber hymn,0.9489715
Crackling bonfire with people singing folk songs,Spitting bonfire accompanied by people singing folk songs,0.9016824
Seagulls calling over a harbor with boat bells,Seagulls calling shrouding a harbor alongside boat bells,0.9201432
Horse-drawn carriage on cobblestone streets,Horse drawn carriage against cobblestone streets,0.91846025
Car driving through puddles after rainfall,Motor car driving through puddles following rainfall,0.9236994
Old grandfather clock ticking in a quiet room,Aged grandfather timer deep marking time inside a quiet room,0.7598357
Windshield wipers on high during heavy rain,Windshield wipers covering high in the process of strong downpour,0.8502618
Glass wind chimes tinkling in a soft breeze,Glass draft bells tinkling within a soft draft,0.85561943
Bubbling cauldron in a witch's cabin,Bubbling cauldron encircled by a witch's cabin,0.92373073
Peaceful country morning with roosters crowing,Peaceful country dawn accompanied by roosters crowing,0.9452221
Steel drums playing a Caribbean melody,Steel drums playing a Caribbean bright melody,0.974193
Water dripping in an echoing cavern,Water dripping inside an echoing cavern at dusk,0.9065062
Fast-paced typing on a laptop keyboard,Fast paced typing against a laptop key set,0.8414457
Crackling of a vintage vinyl record before music,Breaking of a vintage vinyl record before music,0.9119487
Baby laughing and cooing happily,Baby laughing during addition to cooing happily,0.87294346
Marching band practicing in a distant field,Marching band practicing within a far off field,0.91251546
Intense thunderstorm with close lightning strikes,Intense thunderstorm featuring close particularly lightning strikes,0.93771166
Construction site with jackhammers and machinery,Construction site amidst addition to jackhammers not to remarkably mention machinery,0.62483263
Bowling ball rolling down lane and hitting pins,Bowling ball rolling down lane and tapping pins,0.97321934
Gentle night rain with frogs croaking,Mild night downpour incorporating frogs croaking,0.881494
Tennis match with grunts and ball hits,Tennis match along featuring grunts also ball hits,0.8009621
Dinner party with clinking glasses and chatter,Dinner party containing clinking glasses and chatter,0.96095705
Chalk writing on an old blackboard,Chalk writing covering an historical blackboard,0.90811145
Summer picnic with distant laughter and breeze,Summer picnic containing detached amusement coupled containing gentle wind,0.7147299
Old western saloon with piano and boot steps,Timeworn western saloon rich featuring piano and boot steps,0.8874895
Skateboarder riding on concrete with jumps,Skateboarder riding over concrete plus jumps,0.9600139
Medieval blacksmith hammering hot metal,Medieval blacksmith hammering hot tin,0.93875456
Dog panting after playing fetch in a park,Dog panting behind playing fetch enclosed in a park,0.922462
Scuba diving with breathing apparatus bubbles,Scuba diving comprising respiration apparatus clear bubbles,0.8660643
Winter night with wind whistling through trees,Winter night including air movement whistling through trees,0.89415216
Distant train whistle across open countryside,Secluded metro whistle over open countryside,0.80548024
Automatic sprinklers starting in a garden,Automatic sprinklers starting amidst sharp a garden,0.77857673
Phone ringing in an empty office,Smartphone tolling between an empty work setting,0.6835671
Retro video game sounds from an arcade,Retro video game sounds distant from an arcade,0.8944022
Clocks ticking at different tempos in a clock shop,Clocks counting during different tempos within a clock shop,0.91812974
Heavy rain hitting a canvas tent,Heavy precipitation drumming a canvas tent,0.8474227
Orchestra tuning before a performance,Musical clearly group tuning preceding a performance,0.69829357
Autumn leaves crunching underfoot,Autumn vegetation grinding beneath one's steps on a summer day,0.7334352
Old cash register opening with bell ring,Timeworn cash register opening featuring dinger ring,0.77753
Elevator doors opening and closing with ding,Elevator doors opening flanking closing with ding,0.86483216
Bacon sizzling in a frying pan,Bacon sizzling during a frying mellow pan,0.9013866
Cricket match with bat hits and crowd reactions,Cricket match along possessing bat hits also assembly reactions,0.70492846
Whale breaching the ocean surface with splash,Whale breaching bright the aquatic realm surface featuring splash,0.8159361
Space station ambient humming and beeps,Space station ambient buzzing also distant beeps,0.87357694
Children playing in snow with laughter,Youngsters interacting within snow containing amusement,0.7068421
Bagpipes playing a traditional Scottish tune,Bagpipes resonant playing a traditional Scottish tune,0.91526103
Ballroom dance with orchestra and footsteps,Ballroom dance plus musicians plus foot falls,0.79382074
Heartbeat gradually increasing in pace,Pulse leisurely increasing amidst pace,0.6487567
Wolves howling in a moonlit forest,Wolves screaming in a moonlit timberland,0.8971518
Summer rainstorm approaching with distant thunder,Summer rainstorm drawing near plus distant thundering,0.8944366
Monastery bells calling for prayer,Monastery bells calling resonant for prayer,0.8886616
Crystal glasses clinking in a toast,Crystal glasses clinking among a subtle toast,0.90909445
Tennis ball machine firing balls repeatedly,Tennis deep ball appliance firing balls repeatedly,0.9243368
Vinyl record needle drop with initial crackle,Vinyl record needle drop along featuring initial crackle,0.9225291
Old steam locomotive chugging and whistling,Antique steam locomotive chugging flanking whistling,0.91808957
Whispering wind through tall grass prairie,Whispering wind by way distant of tall grass prairie,0.8820361
Fox hunt with horns and galloping horses,Fox hunt profoundly plus warning sounds plus galloping horses,0.7474642
Cat meowing for attention or food,subtle Cat meowing for attention or food,0.9141829
Electric bass guitar playing a funky riff,Electric bass deep guitar working a funky riff,0.94688255
Walking through deep snow with squeaky footsteps,Walking amidst deep snow containing squeaky footsteps,0.89653504
Sci-fi computer terminal with typing and beeps,Sci fi processor terminal plus typing and beeps,0.8946953
Quill pen scratching on parchment,Quill pen scratching atop subtle parchment,0.79061794
Distant siren gradually getting closer,Detached siren sharp progressively getting closer,0.8129168
Office environment with typing and phone calls,Business space environment comprising typing plus phone calls,0.7927771
Fantasy tavern with bards playing and patrons talking,Fantasy tavern containing bards running and patrons talking,0.9634116
Ice cracking on a frozen lake,Ice subtle cracking atop a frozen lake,0.8552712
Small stream bubbling over rocks in a meadow,Small rivulet bubbling over rocks in distant a meadow,0.8714929
Basketball bouncing on court with squeaking shoes,Basketball bouncing covering court bright plus squeaking shoes,0.82239354
Gentle ocean waves at night with distant lighthouse foghorn,Delicate liquid surf amid night comprising far off lighthouse foghorn,0.8493134
Crackling campfire with storyteller speaking softly,Popping inferno pit next to storyteller speaking softly,0.7409388
Medieval jousting tournament with crowd cheers,Medieval jousting tournament containing gathering cheers,0.93242216
Purring cat sleeping on a windowsill during rain,Droning tabby slumbering above a window edge in the middle of rain,0.70657307
Desert wind blowing sand against tent canvas,Wasteland air movement blowing granules against tent canvas,0.7511699
Chopping vegetables on a wooden cutting board,Chopping vegetables over a oak cutting board,0.91074604
Carousel music at an amusement park,Carousel music at sharp an amusement park,0.94967407
Retro pinball machine with flippers and bells,Retro pinball gadget including flippers and bells,0.9382275
Whispering voices in an ancient tomb,Whispering voices amid an ancient tomb,0.96017516
Horse-drawn sleigh with bells in snow,Horse drawn sleigh comprising bells inside snow,0.9015472
Group meditation with synchronized breathing,Group meditation accompanied by synchronized respiration,0.90992856
Old movie projector clicking with film soundtrack,Ancient movie projector clicking containing film soundtrack,0.8816638
Gentle wind through bamboo forest,"Beneath starlight, mild zephyr along bamboo forestland",0.6673204
Electric guitar amplifier feedback and distortion,Electric guitar amplifier feedback beside distortion,0.7341938
Snowy night with distant wolf howls,Snowy night throughout addition to distant wolf howls,0.9104153
Analog synthesizer creating ambient soundscape,Analog synthesizer creating ambient deep soundscape,0.98037994
Morning birds at dawn in springtime,Morning flyers at dawn during springtime on a foggy day,0.7881495
Helicopter search and rescue operation,Rotary deep aircraft search and rescue operation,0.7977776
Pool balls colliding during a game,Pool balls pounding during a game,0.84659094
Vintage radio tuning between stations,Vintage radio warm tuning between stations,0.94668347
Rain hitting large tropical leaves in jungle,"On a foggy day, drizzle pounding large tropical fronds inside jungle",0.70511544
Sharpening a knife on a whetstone,Sharpening a knife against a whetstone,0.9670335
Child splashing in puddles with rubber boots,Child splashing amidst puddles containing rubber boots,0.9053935
Busy shopping mall during holiday season,Frantic shopping mall in the midst particularly of holiday season,0.72439146
Sailboat with flapping sails and water against hull,Sailboat containing flapping sails and water against hull,0.96168184
Haunted mansion with creaking floors and distant moans,Haunted mansion comprising whining flooring also detached moans,0.8337686
Analog alarm clock ticking and ringing,mellow Analog alarm timer tocking and ringing,0.8654009
Cat purring while kneading a soft blanket,Cat vibrating during kneading a soft blanket,0.90363526
Rustling paper as pages turn in book,Crackling paper as folios turn inside manuscript,0.7901642
Busy highway traffic from distance,"Amidst skyscrapers, lively highway automobiles from remoteness",0.6173337
Blacksmith hammering red-hot metal on anvil,Blacksmith hammering red hot aluminum on top of anvil,0.9422177
Crackling electricity in a mad scientist lab,Sparking electricity amidst subtle a mad scientist lab,0.72344565
Horse trotting on cobblestone street,Horse trotting blanketing cobblestone street,0.9191621
Rowdy sports bar during a big game,Rowdy sports bar encircled by profoundly a big game,0.7075397
Children opening presents with excitement,Children opening presents plus excitement,0.91132295
Freight train passing by with horn blasts,Freight metro passing by comprising horn distant blasts,0.8205662
Footsteps on gravel path in quiet garden,Steps over gravel path amidst faint backyard,0.795658
Roller coaster with screams and mechanical sounds,Roller coaster comprising screams also mechanical sounds,0.884264
Windmill creaking as blades turn in strong wind,Windmill grating as mellow blades turn inside strong breeze,0.86424106
Old western town with distant piano music,Archaic western town beside distant piano music,0.80492115
Ambient hum of a submarine interior,clear Ambient hum of a submarine interior,0.9273467
Cuckoo clock striking the hour,Cuckoo clock deep striking the hour,0.9545784
Soccer match with referee whistle and crowd,Soccer match clearly featuring referee whistle and crowd,0.94242287
Wind howling through abandoned building,Air current moaning through abandoned building,0.83926564
Busy restaurant kitchen during service,Crowded eatery vividly kitchen for the duration of service,0.6581798
Forest creatures at night with owl hoots,Arboretum creatures at night accompanied by owl hoots during autumn,0.8780147
Orchestra performing classical symphony,Orchestra impressively performing classical symphony,0.94601655
Pouring rain on a car roof while driving,Pouring rain against a car shelter at the time that driving,0.7021588
Traditional Native American drum circle,Traditional Native warm American drum circle,0.94830465
Old phonograph playing scratchy jazz record,Ancient phonograph playing scratchy distant jazz record,0.93542075
Rocket countdown and powerful launch,Rocket unmistakably countdown and powerful launch,0.69378334
Monks chanting in a stone monastery,Monks chanting amidst bright a stone monastery,0.86998504
Crackling campfire with ghost stories,Crackling bonfire along possessing ghost stories,0.82745826
Dinner table conversation with family,Dinner table exchange featuring resonant family,0.7131233
Bicycle bell ringing on busy bike path,Bicycle jingle ringing spreading over bustling bike path,0.81979346
Water boiling in a kettle whistling,Water boiling in a kettle whistling,1.0
Rhythmic printing press in operation,Rhythmic printing press during operation,0.90998644
Mountain stream with occasional fish jumps,Elevation brook including infrequent fish jumps,0.7537013
Playground swings creaking back and forth,Playground swings squeaking warm back also forth,0.8357372
Typing on old mechanical typewriter,Typing across historical mechanical typing apparatus,0.73057306
Ice skates carving across frozen pond,Ice skates carving extending along frozen pond,0.9318115
Blacksmith hammering and quenching hot metal,Blacksmith hammering and quenching hot iron,0.97492564
Baby giggling during peek-a-boo game,Baby giggling encircled by peek a boo game,0.83471715
Geese honking as they fly overhead,Geese honking as they fly distant overhead,0.98451245
Old film projector running in cinema,Vintage film projector sprinting within cinema,0.8222834
Cave with water droplets and distant echoes,"During a misty morning, cave combined featuring water droplets furthermore with distant echoes",0.74061334
Cash register drawer opening with bell,Cash register drawer opening accompanied by dinger,0.86692107
Ancient temple with wind through stone corridors,Ancient temple containing draft amidst stone corridors,0.8347292
Helicopter hovering overhead,Copter clear hovering up high,0.7666831
Whale songs in deep ocean,bright Whale songs in bottomless briny deep,0.74091536
Wind chimes in gentle summer breeze,Draft carillons during soothing summer draft,0.59960175
Busy fish market with vendors calling,Lively fish noticeably exchange besides vendors calling,0.5679505
Analog synthesizer creating sci-fi atmosphere,Analog synthesizer creating sci fi atmosphere,0.96412385
Walking through dense forest undergrowth,Walking by way of dense copse undergrowth during autumn,0.8389064
Stadium crowd doing the wave at sporting event,Stadium crowd especially doing the wave at sporting event,0.9251017
Crackling logs in stone fireplace during winter,Sizzling logs among stone fireplace for the duration of winter,0.83725995
Subway train arriving at station with announcement,Subway metro arriving among station comprising announcement,0.8237946
Antique pocket watch ticking mechanism,Antique pocket watch ticking rich mechanism,0.93877697
Cat purring and kneading on blanket,Tabby buzzing bordering kneading covering blanket,0.7903724
Basketball game with squeaking shoes and bouncing ball,Basketball game comprising squeaking shoes not to mention bouncing ball,0.8575006
Wind rushing through canyon walls,"During sunrise, air current rushing spreading over canyon walls",0.7968255
Old fashioned typewriter with bell at end of line,Antique fashioned mechanical writer plus tinkle for end of line,0.7273344
Beehive buzzing with activity,Beehive clear humming including activity,0.82667166
Grandfather clock pendulum swinging,Grandfather bright chronometer pendulum swinging,0.9293772
Marching band playing in parade,Marching band cavorting amid parade,0.8602176
Bowling alley ambient sounds,Bowling unmistakably alley ambient sounds,0.73046863
Birds taking flight suddenly from trees,"On a foggy day, ornithes taking flight suddenly from trees",0.689064
Video arcade from the 1980s,Video remarkably arcade from the 1980s,0.8756863
Horse galloping across open field,Horse galloping spanning open field,0.9231817
Rain on windshield with wipers running,Rain atop windshield plus subtle wipers jogging,0.69983417
Electric guitar with heavy distortion solo,Electric guitar accompanied by heavy distortion solo,0.9263829
Bonfire crackling at beach party,Bonfire popping during beach party,0.89384663
Heavy footsteps in empty hallway at night,Heavy footsteps during empty hallway among night,0.9186943
Carnival merry-go-round music and laughter,Carnival precisely merry go round music and guffaws,0.82892644
Fox barking in moonlit forest,Fox barking within moonlit woods,0.93847066
Helicopter rescue operation in mountains,Copter sharp rescue operation amid mountains,0.82698846
Chopping wood for winter fireplace,Chopping wood for winter rich fireplace,0.92441964
Tennis match with grunts and ball hits,Tennis match featuring grunts and ball hits,0.95602953
Haunted house with ghostly whispers,Haunted home bright featuring ghostly whispers,0.9035656
Old west saloon piano playing ragtime,Aged west saloon sharp piano playing ragtime,0.91800475
Sand timer with grains falling slowly,Sediment timer not to mention grains falling slowly,0.71447605
Bubbling scientific experiment in laboratory,Bubbling scientific experiment amid laboratory,0.9266623
Bat echolocation sounds in cave,Bat echolocation sounds resonant during cave,0.8450279
Monks chanting in Tibetan monastery,Monks chanting resonant in Tibetan monastery,0.9300735
Vinyl record crackle before jazz music,Vinyl record crackle warm before jazz music,0.96304005
Soccer stadium with chanting fans,Soccer distinctly amphitheater plus chanting fans,0.72311854
Thunderstorm with heavy rain on roof,Thunderstorm adjacent to vividly prominent downpour covering,0.75682634
Ice cracking on frozen lake in spring,Ice cracking against frozen lake throughout season of renewal,0.87194455
Cash register ringing up sales,Cash register clear bonging up sales,0.7873025
Heart monitor beeping in hospital room,Heart monitor beeping in hospital room,0.99999994
Howling blizzard around mountain cabin,Shrieking blizzard noticeably around elevation cabin,0.8281808
Frying eggs on hot skillet,Frying bright eggs covering hot skillet,0.84919083
Bowling ball rolling down lane and hitting pins,Bowling ball rolling down lane coupled containing pounding pins,0.8939817
Traditional Japanese tea ceremony,Traditional Japanese mellow tea ceremony,0.8569167
Horse-drawn carriage on country road,Horse drawn carriage upon country road,0.9088686
Bubbling creek with birds chirping,Bubbling brook beside ornithes chirping,0.83274025
Mechanical pocket watch ticking,Mechanical warm pocket watch tocking,0.8625318
Ancient stone door grinding open,sharp Ancient stone door grinding open,0.9235485
Coffee percolator bubbling on stove,Coffee percolator bubbling above stove,0.9540068
Ambient sounds of tropical rainforest,Ambient sounds especially of tropical rainforest,0.92291474
Phone ringing in empty office building,Smartphone ringing amidst empty office edifice,0.6786079
Crackling fire with storyteller speaking,Crinkling combustion comprising storyteller speaking,0.697072
Orchestra tuning instruments before concert,Symphony tuning instruments amidst advance profoundly of recital,0.64182377
Dog barking at mailman approaching,Dog barking across mailman nearing,0.91684055
Popcorn popping in kettle,Popcorn popping throughout kettle,0.9220177
Drawbridge mechanism raising with chains,Drawbridge mechanism raising comprising chains,0.8940761
Morning in countryside with rooster crowing,Dawn throughout countryside with rooster crowing,0.9409144
Theremin playing eerie melody,Theremin frolicking mellow eerie melody,0.80062133
Indoor swimming pool echoes and splashes,Indoor swimming pool echoes coupled including splashes,0.84990084
Horses pulling stagecoach on dirt road,Horses pulling stagecoach over dirt road,0.9731941
Crackling static on old radio,Spitting static against historic radio,0.7403945
Birds chirping in spring garden,Birds chirping inside budding season flower bed,0.8855453
Thunderstorm approaching with distant rumbles,Squall drawing near featuring faint rumbles,0.85033643
Blacksmith forge with hammer and bellows,Blacksmith forge including hammer not to mention bellows,0.8598429
Summer rain on garden leaves,Summer shower over garden patch leaf cover,0.79880387
Church bells ringing across village,Church bells ringing spreading over village,0.9421626
Carousel music at night carnival,Carousel music during night carnival,0.96884215
Casino slot machines and ambient chatter,Casino slot machines besides ambient chatter,0.9277942
Cat purring by crackling fireplace,Tabby thrumming by clicking fireplace,0.7212235
Chainsaw cutting through fallen tree,Chainsaw cutting subtle through fallen tree,0.94898665
Chalk writing on blackboard in quiet classroom,Chalk writing shrouding blackboard amidst noiseless classroom,0.81613207
Champagne cork popping at celebration,Champagne cork popping rich at celebration,0.95919836
Children jumping in pile of autumn leaves,Minors jumping amidst pile of autumn foliage,0.825284
Christmas morning with paper unwrapping,Christmas early hours plus paper unwrapping,0.8718674
Cicadas singing on hot summer evening,Cicadas warbling on hot summer evening during a misty morning,0.8185011
Circus performance with crowd reactions,Circus performance parallel to crowd reactions,0.8770467
Classical string quartet in marble hall,Classical string quartet all through marble hall,0.9250684
Classroom with teacher and student interactions,Classroom plus teacher distant and student interactions,0.86871517
Clock tower striking noon over city square,Timer tower striking noon blanketing municipality square,0.8004694
Closing metal vault door with echo,Closing iron vault door comprising echo,0.8723198
Coffee shop ambient noise with espresso machine,Caf ambient noise possessing espresso appliance,0.7640043
Cold winter wind whistling through bare trees,Cold winter wind whistling through deep bare trees,0.9844655
Computer server room with fans and hard drives,Processor server room parallel to fans alongside hard drives,0.8211219
Concert hall audience applauding,Musical event hall audience applauding,0.91919315
Construction site with jackhammer and crane,Construction site along including jackhammer especially coupled containing crane,0.8054715
Cooking bacon in cast iron skillet,Cooking bacon amidst cast mellow iron skillet,0.8330977
Coral reef underwater with bubbles and fish,Coral reef underwater containing bubbles plus fish,0.9271784
Corks popping at wine tasting event,Corks popping during wine bright tasting event,0.9431957
Country creek with frogs and crickets,"On a foggy day, country waterway comprising frogs coupled featuring crickets",0.71474093
Cow mooing in barn with hay rustling,Cow mooing amidst barn comprising hay swishing,0.85703754
Crackling campfire with owl hooting,Crackling campfire plus owl hooting in winter,0.90059483
Crackling ice in glass of whiskey,Crackling ice among mellow glass of whiskey,0.8761133
Creaking door in abandoned mansion,Squealing door inside neglected mansion,0.84429145
Creaking floors in old Victorian house,Grating floor surface amid archaic Victorian habitat,0.71446407
Creaking rocking chair on wooden porch,Creaking rocking chair shrouding hardwood deck,0.8332076
Cricket match with bat hits and commentary,Cricket match next to bat hits amidst addition to commentary,0.6056026
Crickets chirping on summer evening,Crickets calling above summer evening,0.838192
Crowd cheering at football touchdown,Assembly distinctly applauding for football six points,0.55306447
Crowd murmuring before theater performance,Crowd murmuring during advance of theater performance,0.9517473
Crying baby gradually calming down,sharp Crying baby steadily calming down,0.8996323
Crystal glasses clinking in toast,Crystal glasses clinking amid toast,0.93224216
Cuckoo clock announcing noon,Cuckoo horologe announcing rich noon,0.7941158
Dance club with electronic music and crowd,Dance club featuring clearly electronic music besides crowd,0.8661149
Deep space ambient with occasional transmission,Strong space ambient parallel to rare transmission,0.7715697
Desert wind through canyon with hawk cry,"At daybreak, dry terrain wind amidst canyon with hawk cry",0.75292575
Dice rolling across wooden table in game,Dice rolling covering maple table amidst game,0.72900546
Diesel train engine idling at station,Diesel railway engine idling sharp when station,0.8789012
Digital alarm clock beeping persistently,Digital siren bright timekeeping device beeping persistently,0.8602607
Dining hall with silverware and conversation,Dining hall containing silverware and conversation,0.93541265
Dinner party with laughter and glasses clinking,Dinner party along comprising guffaws in addition to glasses clinking,0.75216746
Distant ambulance siren approaching,Detached ambulance siren advancing,0.7810494
Distant avalanche in mountain range,Distant avalanche within mountain range in early morning,0.87821436
Distant carnival sounds across night field,Faint carnival sounds spanning night field,0.7710228
Distant church bells on Sunday morning,Isolated church bells against Sunday daybreak,0.754394
Distant factory whistle signaling end of shift,Faint factory whistle rich signaling end of shift,0.8255236
Distant fireworks on fourth of July,clear Distant fireworks covering fourth of July,0.8883027
Distant foghorn on misty harbor,Distant foghorn against misty harbor,0.96657777
Distant gunfire on battlefield,Far off particularly gunfire atop battlefield,0.6393827
Distant helicopter approaching gradually,Remote helo moving toward progressively,0.5925037
